Date,DELL
2019-11-22,53.6100
2019-11-25,55.0600
2019-11-26,53.1900
2019-11-27,50.3200
2019-11-29,48.4900
2019-12-02,47.7200
2019-12-03,47.4000
2019-12-04,47.6800
2019-12-05,47.3400
2019-12-06,47.1200
2019-12-09,47.6500
2019-12-10,47.3600
2019-12-11,47.7100
2019-12-12,49.5000
2019-12-13,49.3500
2019-12-16,49.4900
2019-12-17,49.9300
2019-12-18,50.0000
2019-12-19,49.8900
2019-12-20,49.6200
2019-12-23,50.4600
2019-12-24,50.8300
2019-12-26,52.0100
2019-12-27,50.9800
2019-12-30,50.9100
2019-12-31,51.3900
2020-01-02,52.2900
2020-01-03,50.5700
2020-01-06,51.0800
2020-01-07,49.8000
2020-01-08,50.0000
2020-01-09,49.6200
2020-01-10,49.5100
2020-01-13,49.8300
2020-01-14,50.8600
2020-01-15,50.6000
2020-01-16,51.3400
2020-01-17,50.3400
2020-01-21,49.2900
2020-01-22,49.9400
2020-01-23,50.3700
2020-01-24,49.9800
2020-01-27,48.1500
2020-01-28,48.6800
2020-01-29,48.9500
2020-01-30,49.3800
2020-01-31,48.7700
2020-02-03,49.1800
2020-02-04,51.0300
2020-02-05,50.7900
2020-02-06,52.8500
2020-02-07,51.6200
2020-02-10,52.1100
2020-02-11,52.2600
2020-02-12,53.3000
2020-02-13,52.5500
2020-02-14,52.8800
2020-02-18,52.7700
2020-02-19,53.3400
2020-02-20,52.9500
2020-02-21,51.7200
2020-02-24,48.3100
2020-02-25,46.2200
2020-02-26,45.9300
2020-02-27,43.5600
2020-02-28,40.4600
2020-03-02,42.3900
2020-03-03,41.7800
2020-03-04,43.3800
2020-03-05,40.8500
2020-03-06,39.6200
2020-03-09,36.2500
2020-03-10,39.1400
2020-03-11,36.9400
2020-03-12,32.7400
2020-03-13,35.9500
2020-03-16,32.2100
2020-03-17,31.3200
2020-03-18,28.8700
2020-03-19,31.9600
2020-03-20,32.4900
2020-03-23,33.9400
2020-03-24,38.8500
2020-03-25,39.3400
2020-03-26,42.5400
2020-03-27,38.7500
2020-03-30,39.8000
2020-03-31,39.5500
2020-04-01,36.9000
2020-04-02,37.1400
2020-04-03,36.4400
2020-04-06,38.9100
2020-04-07,38.3700
2020-04-08,40.3800
2020-04-09,41.5600
2020-04-13,40.4600
2020-04-14,41.3400
2020-04-15,40.4500
2020-04-16,41.1000
2020-04-17,41.5100
2020-04-20,40.9600
2020-04-21,37.4000
2020-04-22,38.7500
2020-04-23,38.9100
2020-04-24,39.6900
2020-04-27,40.1900
2020-04-28,40.8400
2020-04-29,43.3900
2020-04-30,42.6900
2020-05-01,40.0000
2020-05-04,40.5500
2020-05-05,40.1900
2020-05-06,40.4900
2020-05-07,41.7500
2020-05-08,43.6500
2020-05-11,43.3700
2020-05-12,42.2500
2020-05-13,41.0300
2020-05-14,41.8600
2020-05-15,42.0900
2020-05-18,43.7800
2020-05-19,44.0400
2020-05-20,44.6600
2020-05-21,44.3900
2020-05-22,43.0700
2020-05-26,44.4600
2020-05-27,45.5700
2020-05-28,45.5800
2020-05-29,49.6400
2020-06-01,49.3700
2020-06-02,49.1500
2020-06-03,48.8100
2020-06-04,49.2000
2020-06-05,50.5200
2020-06-08,51.6600
2020-06-09,50.0300
2020-06-10,49.3900
2020-06-11,46.5900
2020-06-12,46.9000
2020-06-15,47.0600
2020-06-16,47.6800
2020-06-17,47.5200
2020-06-18,47.4200
2020-06-19,48.9200
2020-06-22,48.2900
2020-06-23,49.0100
2020-06-24,53.1000
2020-06-25,51.6000
2020-06-26,52.2500
2020-06-29,53.7600
2020-06-30,54.9400
2020-07-01,54.2800
2020-07-02,53.7500
2020-07-06,54.0600
2020-07-07,52.9500
2020-07-08,54.1500
2020-07-09,53.6900
2020-07-10,53.4300
2020-07-13,51.7700
2020-07-14,52.5000
2020-07-15,52.6800
2020-07-16,59.1000
2020-07-17,60.3700
2020-07-20,61.4500
2020-07-21,61.0600
2020-07-22,61.7600
2020-07-23,61.5200
2020-07-24,60.8000
2020-07-27,60.9600
2020-07-28,59.3700
2020-07-29,59.6900
2020-07-30,59.1600
2020-07-31,59.8300
2020-08-03,60.4800
2020-08-04,60.3200
2020-08-05,60.6100
2020-08-06,60.9500
2020-08-07,60.8000
2020-08-10,61.8300
2020-08-11,61.5400
2020-08-12,61.8300
2020-08-13,59.5600
2020-08-14,59.9100
2020-08-17,59.6900
2020-08-18,60.0200
2020-08-19,59.8500
2020-08-20,59.6600
2020-08-21,60.4600
2020-08-24,61.5600
2020-08-25,60.6400
2020-08-26,62.1300
2020-08-27,62.4300
2020-08-28,66.2100
2020-08-31,66.0800
2020-09-01,66.3700
2020-09-02,68.4700
2020-09-03,65.5400
2020-09-04,64.6500
2020-09-08,64.1500
2020-09-09,66.8400
2020-09-10,65.4400
2020-09-11,66.3900
2020-09-14,66.8500
2020-09-15,67.1000
2020-09-16,67.3700
2020-09-17,66.5600
2020-09-18,66.3700
2020-09-21,65.5000
2020-09-22,66.3100
2020-09-23,65.6100
2020-09-24,65.3700
2020-09-25,65.7200
2020-09-28,67.3100
2020-09-29,68.4000
2020-09-30,67.6900
2020-10-01,67.5400
2020-10-02,67.1600
2020-10-05,68.2100
2020-10-06,67.4800
2020-10-07,67.4100
2020-10-08,68.6600
2020-10-09,68.3900
2020-10-12,69.2500
2020-10-13,70.5100
2020-10-14,70.6500
2020-10-15,70.0400
2020-10-16,70.1500
2020-10-19,69.5000
2020-10-20,69.4100
2020-10-21,69.8300
2020-10-22,68.7800
2020-10-23,68.1800
2020-10-26,64.7400
2020-10-27,63.5700
2020-10-28,60.7000
2020-10-29,60.5200
2020-10-30,60.2600
2020-11-02,60.2900
2020-11-03,61.7500
2020-11-04,62.2300
2020-11-05,64.5100
2020-11-06,64.5900
2020-11-09,64.2400
2020-11-10,64.6100
2020-11-11,64.8800
2020-11-12,64.4200
2020-11-13,66.1100
2020-11-16,67.3500
2020-11-17,67.8600
2020-11-18,67.6000
2020-11-19,68.5000
2020-11-20,68.3400
2020-11-23,69.3800
2020-11-24,70.3300
2020-11-25,69.3500
2020-11-27,69.8200
2020-11-30,69.0300
2020-12-01,70.5200
2020-12-02,70.5200
2020-12-03,70.9100
2020-12-04,72.1000
2020-12-07,70.3800
2020-12-08,71.8700
2020-12-09,71.5300
2020-12-10,72.1600
2020-12-11,71.6400
2020-12-14,72.4300
2020-12-15,73.7400
2020-12-16,73.8700
2020-12-17,74.7100
2020-12-18,72.9200
2020-12-21,73.0600
2020-12-22,72.7300
2020-12-23,73.4000
2020-12-24,72.9900
2020-12-28,72.8500
2020-12-29,71.5000
